possession_team,Counter-Attack,High Turnover,Other,Slow Build-up,Total_Possessions,Counter_Attack_Pct,Avg_VTV_Overall,Avg_VTV_Counter_Attack
Leicester City,116,427,1893,1053,3489,3.3247348810547437,2.505803314797849,8.158618424125159
Sunderland,94,355,1902,1044,3395,2.768777614138439,2.405902808304867,8.007565257357376
Southampton,94,479,1771,1194,3538,2.6568682871678915,2.1964423996607683,8.318196220528671
Crystal Palace,91,448,1932,1164,3635,2.5034387895460797,2.245006804996938,7.744328481353841
Norwich City,81,425,1788,1210,3504,2.3116438356164384,2.1993809249126137,8.704274963319206
Newcastle United,81,349,1870,1245,3545,2.2849083215796897,2.2336175911862304,7.442725135152154
Watford,82,366,2027,1122,3597,2.279677509035307,2.4322679504994498,8.60155239027401
West Ham United,81,458,1914,1176,3629,2.232019840176357,2.1967265707498234,8.375787972607409
Arsenal,77,421,1545,1512,3555,2.1659634317862166,1.9641047121274877,8.054505575362159
Chelsea,77,427,1719,1423,3646,2.1119034558420187,1.9358858616699157,7.459582100319184
West Bromwich Albion,72,487,1813,1058,3430,2.099125364431487,2.2393339087655253,8.153151180174754
Everton,74,362,1660,1449,3545,2.0874471086036674,2.0033440654183354,7.41578335861763
Manchester City,71,458,1561,1404,3494,2.032054951345163,1.849806957094789,7.711900435700974
Tottenham Hotspur,68,442,1754,1468,3732,1.822079314040729,1.8301550580144017,7.360871226553725
Aston Villa,63,337,1921,1219,3540,1.7796610169491527,2.0195217647935717,7.716215051810574
Liverpool,66,472,1656,1521,3715,1.7765814266487217,1.9008364788811432,7.257641940572641
Stoke City,62,313,1824,1328,3527,1.7578678763821944,2.1270848963103925,8.513055286554343
Manchester United,60,428,1606,1511,3605,1.6643550624133148,1.751635249551522,7.401939250940842
Swansea City,61,350,1882,1379,3672,1.661220043572985,1.908346709639952,7.646551416427143
AFC Bournemouth,52,436,1804,1418,3710,1.4016172506738545,1.8956437407618971,8.15583152885735
